ID	center_name	center_inform	center_intro	center_program
1	힘찬키움지역아동센터	경기도 광명시 광명로812번길 30 2층 (광명동) 02-2681-6173 이용시간 학기중 : 10:00 ~ 21:00 방학중 : 09:00 ~ 18:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
2	힘찬지역아동센터	경기도 성남시 수정구 모란로 91 4층 (태평동) 031-721-8479 이용시간 학기중 : 10:00 ~ 21:00 방학중 : 10:00 ~ 21:00 토요일 : ~	안녕하세요~ 소중한 우리. 꿈을가진 우리. 행복할 우리 힘찬지역아동센터입니다. ^^ 한사람이 힘들면 우리모두가 함께 힘들고, 한사람이 행복하면 우리 모두가 행복할수 있는 나는 곧 우리가 되는 우분트의 기적을 그리며, 성남시 태평1동에 자리잡고 있는 센터 입니다. 2009년에 개소하여 현재 27명의 아이들이 초등부터 중.고등까지. 그리고 장애인친구들도 함께 어우러져 멋진 우분트 우리행복한 세상을 만들어가는 그루터기 역할을 하고 있답니다. 아이들이 행복하면 그 사회는 비전있는 사회가 된다고 하지요? 우리 힘찬지역아동센터 아이들의 멋진 꿈과 희망의 많은 에너지를 부탁드립니다.   	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
3	힘찬지역아동센타	서울특별시 동대문구 서울시립대로29길 62 현대아파트 상가3층 (휘경동, 휘경동현대아파트) 02-2245-7179 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
4	힘찬지역아동센타	서울특별시 동대문구 장안벚꽃로5길 19 휘경동 휘경베스트빌현대아파트 상가3층 (휘경동, 휘경베스트빌현대아파트) 02-2245-7179 이용시간 학기중 : 10:00 ~ 18:30 방학중 : 10:00 ~ 18:30 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
5	흰돌행복한홈스쿨	울산광역시 동구 월봉6가길 3 방어동 052-232-9544 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : ~	흰돌행복한홈스쿨 지역아동센터는 울산 동구 방어동에 위치하고 있으며, 현재 주간반 29명, 야간반 10명이 이용하고 있습니다.  	5대영역 프로그램운영 보호프로그램 교육프로그램 문화프로그램 정서지원프로그램 지역연계프로그램  
6	희망플러스사회적협동조합(양서지역아동센터)	경북 포항시 북구 천마로103번길 30 (양덕동) 054-277-3370 이용시간 학기중 : 10:00 ~ 20:00 방학중 : 10:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
7	희망터지역아동센터	인천광역시 강화군 온수길38번길 14 희망터지역아동센터 032-937-7811 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
8	희망터지역아동센터	경상북도 경주시 용담로54번길 9-0 기정상가 비동 3층 황성동 (황성동) 054-742-3689 이용시간 학기중 : 10:00 ~ 22:00 방학중 : 09:00 ~ 22:00 토요일 : 00:00 ~ 00:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
9	희망찬지역아동센터	경기도 하남시 신장로 200-0 2층 덕풍동 031-791-8103 이용시간 학기중 : 10:00 ~ 22:00 방학중 : 10:00 ~ 20:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
10	희망지역아동센터	경기도 화성시 정남면 만년로 470-14 동남A 상가동 201.206호 031-366-1220 이용시간 학기중 : 10:00 ~ 20:00 방학중 : 10:00 ~ 20:00 토요일 : 09:00 ~ 17:00	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
11	희망지역아동센터	경기도 의정부시 호국로1142번길 21 가능동 031-872-9688 이용시간 학기중 : 10:00 ~ 21:00 방학중 : 11:00 ~ 18:00 토요일 : ~ 02056024	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
12	희망지역아동센터	경기도 성남시 수정구 탄리로31번길 3 2층 희망지역아동센터 (수진동) 031-759-9596 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
13	희망지역아동센터	경기도 수원시 권선구 고산로 6번길 45 대원상가 3층 (고색동,대원아파트) 031-227-0675 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 10:00 ~ 19:00 토요일 : 10:00 ~ 14:00	센터 안내입니다.	생활교육 프로그램 (위생, 일상생활지도) 아동인성교육 프로그램 아동학습지원 프로그램 (수준별 전과목 지도, 부진아 관리 및 학습지도) 아동안전교육 프로그램 (5대 안전교육) 지역사회연계 프로그램 (악기교실) 토요일 정기 프로그램 (원예, 과학, 요리, 교실 운영) 
14	희망지역아동센터	경기도 군포시 당동로 22 2층 당동 031-457-1255 이용시간 학기중 : 10:00 ~ 19:00 방학중 : 09:00 ~ 18:00 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
15	희망지역아동센터	강원도 철원군 동송읍 오덕리 1195-7 033-455-3371 이용시간 학기중 : 13:00 ~ 21:00 방학중 : 12:30 ~ 08:30 토요일 : ~	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
16	희망지역아동센터	경상남도 합천군 묘산로 171 희망지역아동센터 055-933-0391 이용시간 학기중 : 10:00 ~ 20:00 방학중 : 09:00 ~ 18:00 토요일 : ~ 03084010	센터 안내입니다.	생활교육 프로그램 아동인성교육 프로그램 아동자립지원 프로그램 아동학대예방 프로그램 지역사회연계 프로그램
17	희망지역아동센터	경상북도 영주시 원당로147번길 14 하망동 054-634-4603 이용시간 학기중 : 11:00 ~ 21:00 방학중 : 10:00 ~ 20:00 토요일 : ~ 00:00	센터 안내입니다.	
